,Nr,Vatom,cAlGa,cAlIn,cAlO,cGaAl,cGaIn,cGaO,cInAl,cInGa,cInO,distAlGa,distAlIn,distAlO,distGaAl,distGaIn,distGaO,distInAl,distInGa,elInt,qAl,qGa,qIn,qO,xEq
25,26.0,9.801741275981758,0.0,0.42857142857142866,3.3571428571428577,0.0,0.0,0.0,3.0000000000000004,0.0,1.0000000000000002,0.025,3.325,1.875,0.025,0.025,0.025,3.325,0.025,-39.263768133041985,0.34550705182521424,,0.3675577904281836,-0.23217559610039018,4.889022610557865
26,27.0,11.272888260615613,0.4285714285714287,0.7142857142857145,3.2857142857142856,0.7500000000000001,1.0,3.499999999999999,1.0000000000000002,0.8000000000000002,3.4000000000000012,2.9250000000000003,3.0250000000000004,2.075,2.9250000000000003,3.4250000000000003,2.075,3.0250000000000004,3.4250000000000003,-36.31458771583954,0.33712476960858123,0.33315756152289,0.37558181920667977,-0.23210053039104253,4.889468278464152
27,28.0,9.743231981679223,0.42857142857142866,0.0,2.928571428571429,3.0,0.0,1.0,0.0,0.0,0.0,3.325,0.025,1.975,3.325,0.025,1.8250000000000002,0.025,0.025,-34.043864272343875,0.34512271799499905,0.32434633646916744,,-0.22835044686951345,4.925352432456581
28,29.0,11.937846307282523,2.6666666666666674,2.3333333333333335,3.0,0.5000000000000001,1.7500000000000002,2.625,0.5384615384615385,2.1538461538461546,3.153846153846154,3.6750000000000003,3.325,1.925,3.6750000000000003,3.375,1.925,3.325,3.375,-41.18860834219799,0.3430254683520249,0.3357258801837807,0.37575733909225445,-0.23511533117074723,4.875467339476711
29,30.0,9.73819453334324,0.11538461538461542,0.4615384615384617,4.346153846153847,3.0000000000000004,1.0000000000000002,6.000000000000002,2.4000000000000004,0.2,3.8,3.0250000000000004,3.0250000000000004,1.975,3.0250000000000004,3.0250000000000004,1.975,3.0250000000000004,3.0250000000000004,-39.28977935234662,0.34053208820541614,0.371674259137206,0.38185178560715916,-0.23197432251070463,4.849315629859537
30,31.0,11.195324873265498,1.0000000000000002,0.8181818181818182,3.636363636363637,1.1,0.8,3.400000000000001,0.8181818181818182,0.7272727272727272,3.0909090909090917,3.2750000000000004,3.2750000000000004,2.1750000000000003,3.2750000000000004,3.2750000000000004,2.1750000000000003,3.2750000000000004,3.2750000000000004,-37.676063792017004,0.34154761032142517,0.3379318599421467,0.3672492176932948,-0.23283507724132027,4.870101765703629
31,32.0,12.945823559063419,0.0,0.0,0.0,0.0,2.2500000000000004,1.7500000000000004,0.0,0.7500000000000001,2.0000000000000004,0.025,0.025,0.025,0.025,3.4250000000000003,1.975,0.025,3.4250000000000003,-35.49083883018945,,0.3231939038836173,0.36270095983558576,-0.23521613056506263,4.858417516899379
32,33.0,11.200677766430914,0.0,2.555555555555556,3.111111111111111,0.0,0.0,0.0,3.285714285714286,0.0,2.428571428571429,0.025,3.4250000000000003,2.075,0.025,0.025,0.025,3.4250000000000003,0.025,-38.53260028156922,0.33371407350532806,,0.3743107818630772,-0.23431675560789542,4.860858181511863
33,34.0,10.66347566113495,1.1052631578947372,0.7894736842105265,2.7894736842105274,3.000000000000001,1.0000000000000002,3.142857142857143,2.5000000000000004,1.1666666666666667,2.833333333333334,3.5250000000000004,3.5250000000000004,1.8250000000000002,3.5250000000000004,3.2750000000000004,1.975,3.5250000000000004,3.2750000000000004,-42.13217519999024,0.3448700477130348,0.34446501597900037,0.3775828527569505,-0.23394339864463276,4.8928916289369235
34,35.0,11.734345039232728,0.0,0.0,0.0,0.0,2.3888888888888897,4.555555555555556,0.0,3.0714285714285725,4.000000000000001,0.025,0.025,0.025,0.025,3.725,2.075,0.025,3.725,-36.97755119343846,,0.3362695721001668,0.36641615285083073,-0.2329724674523882,4.8295342935242465
35,36.0,11.165582653600469,1.7272727272727275,1.5454545454545456,2.6363636363636367,1.461538461538462,1.076923076923077,2.9230769230769234,2.125,1.75,3.1250000000000004,3.325,3.575,1.925,3.325,3.2750000000000004,1.875,3.575,3.2750000000000004,-41.68348878366973,0.34022705222362853,0.3424659654554977,0.3804730410559079,-0.23413207195476352,4.886590725299903
36,37.0,11.495526006562045,0.0,2.125,2.625,0.0,0.0,0.0,2.125,0.0,3.0,0.025,3.475,1.975,0.025,0.025,0.025,3.475,0.025,-38.21550704878952,0.33429844434844525,,0.3697789581672629,-0.23469246750523629,4.853429431599659
37,38.0,12.196042364123176,0.5000000000000001,2.9000000000000004,2.5000000000000004,2.500000000000001,0.5000000000000001,2.0000000000000004,1.4500000000000002,0.05,3.6,3.575,3.575,1.975,3.575,3.375,1.975,3.575,3.375,-39.63693537223656,0.3344653988625919,0.324212731133201,0.3674090664919506,-0.23627626626523587,4.833602105243378
38,39.0,11.970798030034837,2.000000000000001,0.5,3.000000000000001,1.1428571428571435,0.5714285714285718,4.000000000000002,0.4,0.8000000000000005,2.0000000000000004,3.5250000000000004,2.975,1.975,3.5250000000000004,2.825,2.125,2.975,2.825,-34.79815915580943,0.33224045770131166,0.3408786876794848,0.36677946841362413,-0.23120874944290704,4.896007806338029
39,40.0,11.866195838563998,1.6666666666666667,2.3333333333333344,3.6666666666666674,0.33333333333333337,1.2000000000000004,2.2,0.5000000000000001,1.2857142857142858,3.2857142857142865,3.325,3.625,2.1750000000000003,3.325,3.325,2.025,3.625,3.325,-37.09740540075626,0.3430415103022078,0.3372335685632479,0.3649033402795067,-0.23325572548475884,4.863232719340284
40,41.0,11.585607072845058,1.4444444444444446,1.3333333333333337,3.0000000000000004,1.1818181818181819,2.090909090909091,2.636363636363637,1.0000000000000004,1.9166666666666674,3.0000000000000004,3.325,3.1750000000000003,2.025,3.325,3.6750000000000003,1.875,3.1750000000000003,3.6750000000000003,-41.537992112574784,0.3421290178170555,0.3364800933752748,0.37540006287092215,-0.23510922795692904,4.875753410063776
41,42.0,9.977861113593766,0.03846153846153847,0.8461538461538464,3.653846153846154,1.0000000000000002,1.0000000000000002,3.0000000000000004,4.400000000000001,0.2,3.6000000000000005,3.075,3.325,1.875,3.075,4.2250000000000005,1.7750000000000001,3.325,4.2250000000000005,-41.30183263823714,0.3449594968895386,0.34966397362855733,0.3756813038824649,-0.23327119608685165,4.876622575245148
42,43.0,10.811994936753095,0.25,1.7000000000000002,2.7500000000000004,5.0,2.0,4.0,3.0909090909090913,0.18181818181818185,3.181818181818181,3.4250000000000003,3.4250000000000003,1.925,3.4250000000000003,3.125,1.875,3.4250000000000003,3.125,-40.661283662590726,0.34009995639469687,0.3395928563097353,0.3739849042116143,-0.2344880402194046,4.860757548125816
43,44.0,9.359687812736997,0.16129032258064518,0.0,3.3870967741935494,5.000000000000001,0.0,3.0,0.0,0.0,0.0,3.4250000000000003,0.025,2.025,3.4250000000000003,0.025,2.025,0.025,0.025,-39.28315751423242,0.3465120757651329,0.34086293296746084,,-0.23089036003513694,4.902609614245362
44,45.0,10.565275821534582,1.3076923076923082,1.0769230769230773,4.000000000000001,1.5454545454545459,1.0909090909090913,4.727272727272729,1.7500000000000007,1.5000000000000004,4.25,3.125,3.125,2.025,3.125,3.125,2.025,3.125,3.125,-38.23725614776401,0.33843761005963385,0.3388517986999408,0.3767417910165442,-0.23210402176264447,4.845634005332169
45,46.0,10.308004254383809,2.9375,0.0,2.1875000000000004,2.9375,0.0,2.562500000000001,0.0,0.0,0.0,3.4250000000000003,0.025,1.925,3.4250000000000003,0.025,1.8250000000000002,0.025,0.025,-41.89670063536476,0.3491062723765538,0.3474212722716058,,-0.23217584821605305,4.91354424471192
46,47.0,9.972882410461045,1.363636363636364,0.2727272727272728,3.1363636363636367,4.285714285714286,0.5714285714285714,3.857142857142857,2.0,1.3333333333333335,1.6666666666666667,3.475,3.125,2.075,3.475,4.675,2.075,3.125,4.675,-38.787339521951985,0.3405714431148828,0.34632329027455144,0.3956824068865806,-0.23133087502310448,4.894288328017051
47,48.0,10.422312658784032,0.7000000000000001,0.8500000000000001,4.050000000000001,2.8000000000000003,0.6000000000000001,3.6000000000000005,2.4285714285714297,0.4285714285714287,1.571428571428572,3.375,3.375,1.8250000000000002,3.375,3.375,1.875,3.375,3.375,-40.588261488340954,0.3458954397320526,0.3424662189429166,0.3677010485110618,-0.2334197339361054,4.8700406692538065
48,49.0,11.767063412437903,1.0000000000000002,1.0000000000000002,3.000000000000001,0.10000000000000005,0.6000000000000002,1.1000000000000003,0.2000000000000001,1.2000000000000004,3.000000000000001,3.0250000000000004,3.0250000000000004,2.075,3.0250000000000004,3.575,1.925,3.0250000000000004,3.575,-30.850824420781336,0.32640741833991116,0.32622223340793105,0.3819440896817747,-0.22909792503450363,4.88120379471311
49,50.0,9.597681913542136,0.2592592592592593,0.18518518518518517,3.444444444444445,1.7500000000000004,0.25000000000000006,1.0000000000000002,5.000000000000001,1.0000000000000002,3.0,3.075,3.4250000000000003,2.025,3.075,3.075,1.7750000000000001,3.4250000000000003,3.075,-38.97028872579281,0.345641322666145,0.3456939721495699,0.37107939539702417,-0.23096189574960888,4.900738052799417
50,51.0,10.228489796944357,0.4,0.4,3.3999999999999995,0.5,1.2500000000000002,3.75,0.6666666666666667,1.666666666666667,1.3333333333333335,2.7750000000000004,3.4250000000000003,2.075,2.7750000000000004,3.725,2.075,3.4250000000000003,3.725,-35.010975968970946,0.33984995382279826,0.337266669160175,0.3695902226716348,-0.23094928409831084,4.898663230724518
51,52.0,9.943133859673228,2.9375000000000004,0.0,1.625,2.9375000000000004,0.0,3.0625,0.0,0.0,0.0,3.475,0.025,1.7750000000000001,3.475,0.025,2.075,0.025,0.025,-38.32846726263551,0.3544185912017625,0.3362538775345785,,-0.23022415624544687,4.906972547857974
52,53.0,12.977127827950545,0.5000000000000001,1.5000000000000004,2.000000000000001,0.3333333333333333,2.6666666666666665,2.9999999999999996,0.1111111111111111,0.29629629629629634,4.62962962962963,3.825,3.325,2.1750000000000003,3.825,3.325,2.1750000000000003,3.325,3.325,-37.13721344473147,0.3030475535354215,0.3178845244675009,0.3626735144584515,-0.2364986160594067,4.79034785663002
53,54.0,11.50004235970486,0.8461538461538464,1.3846153846153848,3.3076923076923084,2.750000000000001,1.5,4.000000000000001,1.2000000000000002,0.4,3.266666666666667,3.575,3.2750000000000004,2.1750000000000003,3.575,3.2750000000000004,1.925,3.2750000000000004,3.2750000000000004,-37.836972227742336,0.3329787527995229,0.3460058328122456,0.3679519632695373,-0.23400055347262164,4.8557867816988765
54,55.0,10.332012905279097,2.428571428571429,0.0,2.571428571428572,1.8888888888888893,0.0,2.8888888888888897,0.0,0.0,0.0,3.475,0.025,2.075,3.475,0.025,2.075,0.025,0.025,-32.8947298859171,0.3412015482677049,0.34155123730603615,,-0.2275988322345106,4.930530674818789
55,56.0,9.406980812208268,3.333333333333334,0.0,3.8333333333333335,3.333333333333334,0.0,1.3333333333333335,0.0,0.0,0.0,3.625,0.025,2.075,3.625,0.025,1.925,0.025,0.025,-35.40177300212115,0.349253541898702,0.33773069717165666,,-0.22899474635678618,4.926757230507211
56,57.0,11.795497439053204,0.0,3.0000000000000004,2.4285714285714297,0.0,0.0,0.0,2.3333333333333344,0.0,2.6666666666666674,0.025,3.5250000000000004,2.125,0.025,0.025,0.025,3.5250000000000004,0.025,-38.331665590842945,0.3262731244744535,,0.3734320122984719,-0.23519999925030932,4.850371984815131
57,58.0,10.631849781204354,5.000000000000001,0.5000000000000001,2.7500000000000004,0.7692307692307693,0.15384615384615385,3.384615384615385,1.0000000000000002,2.0000000000000004,3.000000000000001,3.4250000000000003,3.0250000000000004,1.925,3.4250000000000003,3.225,1.925,3.0250000000000004,3.225,-39.95342772485964,0.34702221204451095,0.3432722992022601,0.39917249118939346,-0.23148986687115802,4.8950253073156205
58,59.0,9.406980812208268,0.5000000000000001,0.0,3.8333333333333344,0.5000000000000001,0.0,2.8333333333333335,0.0,0.0,0.0,2.725,0.025,2.025,2.725,0.025,2.025,0.025,0.025,-35.50849011421678,0.34640735467248035,0.34072613087201425,,-0.2290444951814982,4.927462543510682
59,60.0,9.508042405733741,1.190476190476191,0.0,4.904761904761905,2.2727272727272734,0.0,3.181818181818182,0.0,0.0,0.0,3.0250000000000004,0.025,1.925,3.0250000000000004,0.025,1.975,0.025,0.025,-39.06247335755083,0.35194395904180586,0.3336670541432446,,-0.2304408486552836,4.870753543400638
60,61.0,10.915336724106771,2.6666666666666683,0.33333333333333354,4.666666666666669,0.36363636363636376,0.6363636363636366,4.2272727272727275,0.14285714285714293,2.000000000000001,4.42857142857143,3.1750000000000003,3.1750000000000003,2.025,3.1750000000000003,3.1750000000000003,2.025,3.1750000000000003,3.1750000000000003,-37.755555072047315,0.34823050783029874,0.3346232994494602,0.3862475557206942,-0.23146118752966427,4.851400497942089
61,62.0,10.283623474939265,0.7619047619047621,0.9523809523809527,2.904761904761905,3.2,1.2000000000000002,2.0,3.333333333333335,1.0,3.0000000000000004,3.375,3.375,1.875,3.375,3.375,1.8250000000000002,3.375,3.375,-40.87745321845134,0.34430406645320605,0.342239284298529,0.3759277686523213,-0.2332739256025811,4.874557943398198
62,63.0,12.75634405863713,1.5000000000000007,3.000000000000001,2.0000000000000004,0.6000000000000002,1.6000000000000003,3.6,0.6666666666666667,0.8888888888888891,3.666666666666667,3.6750000000000003,3.625,1.975,3.6750000000000003,3.075,2.1750000000000003,3.625,3.075,-37.6177002772852,0.33740679569537085,0.33070439747553154,0.36739748851444787,-0.23478804064160144,4.8604275186806145
63,64.0,10.307349501306485,0.7000000000000003,0.30000000000000016,1.9000000000000006,1.7500000000000007,0.5000000000000001,2.0000000000000004,1.5000000000000007,1.0000000000000002,2.000000000000001,3.1750000000000003,3.1750000000000003,1.8250000000000002,3.1750000000000003,3.625,1.875,3.1750000000000003,3.625,-36.64509341944849,0.3452230210358655,0.3360793144472639,0.3702291318939915,-0.2307085721639873,4.921949028271171
64,65.0,10.351999515076338,4.166666666666667,0.0,3.0,0.9615384615384617,0.0,3.3076923076923093,0.0,0.0,0.0,3.375,0.025,1.8250000000000002,3.375,0.025,1.875,0.025,0.025,-40.0521817806369,0.3634273106398844,0.3426742538370623,,-0.23104363465839425,4.901040863922093
65,66.0,11.338757367109228,3.285714285714286,0.5714285714285716,3.1428571428571432,1.3529411764705883,0.6470588235294118,1.941176470588235,0.5,1.3750000000000002,2.625,3.575,3.1750000000000003,2.025,3.575,3.125,1.875,3.1750000000000003,3.125,-41.24113694243001,0.34543933052985426,0.3415943507482615,0.37520499923904155,-0.2338920681321198,4.887736495973303
66,67.0,11.382417010366442,0.7142857142857145,2.1428571428571437,3.4285714285714297,2.500000000000001,1.2500000000000004,3.2500000000000004,2.1428571428571437,0.35714285714285726,3.8571428571428585,3.475,3.475,1.975,3.475,3.1750000000000003,2.075,3.475,3.1750000000000003,-40.246777958430194,0.33756933686477314,0.32850725431922473,0.3742701375001939,-0.23499545121638446,4.852796894906241
67,68.0,11.46328492239908,2.000000000000001,1.7000000000000002,3.6,2.2222222222222223,1.8888888888888893,3.5555555555555554,1.307692307692308,1.3076923076923077,3.692307692307694,3.475,3.475,1.925,3.475,3.375,2.125,3.475,3.375,-39.868896837846236,0.3395468289024873,0.33542948475413714,0.3725142800612712,-0.23452123526267968,4.855953541983937
68,69.0,10.025861332445974,3.285714285714287,0.0,1.7142857142857153,2.5555555555555562,0.0,3.166666666666667,0.0,0.0,0.0,3.475,0.025,1.8250000000000002,3.475,0.025,2.075,0.025,0.025,-38.194283162106515,0.3544044166300437,0.3380389450090776,,-0.23013255922883355,4.907541338694824
69,70.0,10.224114400750945,0.3636363636363637,0.09090909090909093,2.90909090909091,1.3333333333333335,0.6666666666666669,1.3333333333333335,0.5000000000000001,1.0000000000000004,2.0000000000000004,3.325,3.0250000000000004,2.125,3.325,3.575,1.975,3.0250000000000004,3.575,-33.10920632751941,0.3379109522305813,0.3318105171787988,0.3901521239949304,-0.2288648447526105,4.916116394424815
70,71.0,10.652864577899715,0.6250000000000001,0.6250000000000001,3.125000000000001,0.8333333333333334,0.5000000000000001,2.166666666666667,2.5000000000000004,1.5,3.0,2.9250000000000003,3.4250000000000003,2.025,2.9250000000000003,3.4250000000000003,2.025,3.4250000000000003,3.4250000000000003,-33.04100704225715,0.34680216097267824,0.3311216278420694,0.3649883505922603,-0.22879682316743186,4.915642205121073
71,72.0,10.042098908735616,1.7000000000000004,0.5500000000000002,2.7500000000000004,3.7777777777777786,0.44444444444444453,3.333333333333334,3.6666666666666674,1.3333333333333335,3.0000000000000004,3.325,3.325,1.875,3.325,3.225,2.025,3.325,3.225,-40.95161406868128,0.34738903926323195,0.3415875660394725,0.3790625734233142,-0.23248451249770474,4.886229108680464
72,73.0,12.59411680165164,0.25000000000000006,2.250000000000001,1.7500000000000007,0.14285714285714285,3.4285714285714297,3.0,0.4285714285714287,1.1428571428571432,3.1428571428571437,3.475,3.575,2.025,3.475,3.575,2.025,3.575,3.575,-39.258904116753705,0.31856456051377247,0.335338068835223,0.3675906577327454,-0.23627142783936073,4.832407380694781
73,74.0,9.192940473796893,0.8750000000000001,0.0,3.3750000000000004,1.7500000000000002,0.0,3.25,0.0,0.0,0.0,3.325,0.025,2.025,3.325,0.025,2.025,0.025,0.025,-35.871780099105194,0.3461084608165872,0.3396151280749643,,-0.22929601104625302,4.925855156095949
74,75.0,10.663568157571316,0.8666666666666668,1.2000000000000002,4.4,1.8571428571428579,1.5714285714285718,4.428571428571429,1.8000000000000005,1.1,4.1000000000000005,3.125,3.125,2.025,3.125,3.125,2.075,3.125,3.125,-38.3441070885741,0.33809563094281764,0.33407005825163155,0.37609336486428824,-0.23272621917805358,4.836329078813866
75,76.0,11.116376991391096,2.0000000000000004,0.5000000000000001,3.000000000000001,0.1666666666666667,0.7083333333333336,3.5833333333333344,0.16666666666666669,2.8333333333333344,1.6666666666666674,3.075,3.2750000000000004,1.925,3.075,3.325,1.925,3.2750000000000004,3.325,-39.526322158943366,0.3554713137831891,0.3409628630500838,0.37659573246206784,-0.23236720282376655,4.881116484933691
76,77.0,9.559731678957723,0.5714285714285716,0.07142857142857145,3.4642857142857157,5.333333333333334,0.3333333333333334,3.0000000000000004,2.0000000000000004,1.0,2.0,3.4250000000000003,3.075,2.025,3.4250000000000003,4.575,2.025,3.075,4.575,-39.049598225174634,0.34774743893255883,0.32527357580197086,0.37609347433073703,-0.23101755191350618,4.899829277088349
77,78.0,12.594510057275908,0.0,0.0,0.0,0.0,3.615384615384616,2.4615384615384612,0.0,2.4736842105263155,3.105263157894737,0.025,0.025,0.025,0.025,3.825,1.925,0.025,3.825,-41.11196603771271,,0.3306095629663223,0.3715770809615497,-0.2366226845173257,4.856140520062157
78,79.0,10.287194204771911,2.0000000000000004,0.30000000000000004,3.4,0.9523809523809528,0.28571428571428575,3.3333333333333335,3.0000000000000013,6.000000000000001,2.0000000000000004,3.1750000000000003,5.675000000000001,2.075,3.1750000000000003,3.475,2.075,5.675000000000001,3.475,-37.916319642239316,0.34766076513715083,0.34241665872856886,0.38285124345163657,-0.2302126818358976,4.905509635723275
79,80.0,11.374619269383832,1.5000000000000002,0.7000000000000002,3.0000000000000004,1.2500000000000002,1.8333333333333335,1.8333333333333335,0.7000000000000002,2.2000000000000006,2.9000000000000004,3.625,3.1750000000000003,2.025,3.625,3.625,1.875,3.1750000000000003,3.625,-41.536506156957024,0.34383174024733953,0.338820848952704,0.3756522395634803,-0.2345977080320972,4.880547188735846
